order_id,date,time,Time_slots
1,01-01-2015,11:38:36,11-12
2,01-01-2015,11:57:40,11-12
3,01-01-2015,12:12:28,12-13
4,01-01-2015,12:16:31,12-13
5,01-01-2015,12:21:30,12-13
6,01-01-2015,12:29:36,12-13
7,01-01-2015,12:50:37,12-13
8,01-01-2015,12:51:37,12-13
9,01-01-2015,12:52:01,12-13
10,01-01-2015,13:00:15,13-14
11,01-01-2015,13:02:59,13-14
12,01-01-2015,13:04:41,13-14
13,01-01-2015,13:11:55,13-14
14,01-01-2015,13:14:19,13-14
15,01-01-2015,13:33:00,13-14
16,01-01-2015,13:34:07,13-14
17,01-01-2015,13:53:00,13-14
18,01-01-2015,13:57:08,13-14
19,01-01-2015,13:59:09,13-14
20,01-01-2015,14:03:08,14-15
21,01-01-2015,14:14:29,14-15
22,01-01-2015,14:16:26,14-15
23,01-01-2015,14:19:03,14-15
24,01-01-2015,14:23:01,14-15
25,01-01-2015,14:44:44,14-15
26,01-01-2015,14:54:26,14-15
27,01-01-2015,15:11:17,15-16
28,01-01-2015,15:35:46,15-16
29,01-01-2015,15:41:01,15-16
30,01-01-2015,15:41:25,15-16
31,01-01-2015,15:50:18,15-16
32,01-01-2015,15:53:18,15-16
33,01-01-2015,15:54:08,15-16
34,01-01-2015,16:21:21,16-17
35,01-01-2015,16:32:04,16-17
36,01-01-2015,16:54:09,16-17
37,01-01-2015,16:56:09,16-17
38,01-01-2015,17:03:00,17-18
39,01-01-2015,17:07:23,17-18
40,01-01-2015,17:14:36,17-18
41,01-01-2015,17:15:20,17-18
42,01-01-2015,17:28:09,17-18
43,01-01-2015,17:38:34,17-18
44,01-01-2015,17:54:20,17-18
45,01-01-2015,17:55:48,17-18
46,01-01-2015,18:25:51,18-19
47,01-01-2015,18:26:34,18-19
48,01-01-2015,18:26:42,18-19
49,01-01-2015,18:33:00,18-19
50,01-01-2015,18:41:01,18-19
51,01-01-2015,18:48:28,18-19
52,01-01-2015,18:53:02,18-19
53,01-01-2015,18:54:17,18-19
54,01-01-2015,19:01:45,19-20
55,01-01-2015,19:03:19,19-20
56,01-01-2015,19:07:00,19-20
57,01-01-2015,19:10:51,19-20
58,01-01-2015,19:30:40,19-20
59,01-01-2015,19:40:08,19-20
60,01-01-2015,20:05:16,20-21
61,01-01-2015,20:08:43,20-21
62,01-01-2015,20:50:16,20-21
63,01-01-2015,20:51:42,20-21
64,01-01-2015,20:52:08,20-21
65,01-01-2015,21:16:00,21-22
66,01-01-2015,21:47:55,21-22
67,01-01-2015,22:03:40,22-23
68,01-01-2015,22:07:32,22-23
69,01-01-2015,22:12:13,22-23
70,02-01-2015,11:38:51,11-12
71,02-01-2015,11:40:50,11-12
72,02-01-2015,11:57:25,11-12
73,02-01-2015,11:58:56,11-12
74,02-01-2015,12:01:12,12-13
75,02-01-2015,12:10:15,12-13
76,02-01-2015,12:21:17,12-13
77,02-01-2015,12:22:46,12-13
78,02-01-2015,12:28:14,12-13
79,02-01-2015,12:29:11,12-13
80,02-01-2015,12:35:38,12-13
81,02-01-2015,12:40:01,12-13
82,02-01-2015,12:45:51,12-13
83,02-01-2015,12:53:27,12-13
84,02-01-2015,13:13:41,13-14
85,02-01-2015,13:34:49,13-14
86,02-01-2015,13:40:31,13-14
87,02-01-2015,14:01:02,14-15
88,02-01-2015,14:10:08,14-15
89,02-01-2015,14:30:19,14-15
90,02-01-2015,15:08:48,15-16
91,02-01-2015,15:14:43,15-16
92,02-01-2015,15:17:02,15-16
93,02-01-2015,15:29:31,15-16
94,02-01-2015,16:17:16,16-17
95,02-01-2015,16:18:04,16-17
96,02-01-2015,16:21:20,16-17
97,02-01-2015,16:45:33,16-17
98,02-01-2015,17:18:18,17-18
99,02-01-2015,17:45:42,17-18
100,02-01-2015,17:46:17,17-18
101,02-01-2015,17:51:33,17-18
102,02-01-2015,17:54:04,17-18
103,02-01-2015,18:02:09,18-19
104,02-01-2015,18:02:12,18-19
105,02-01-2015,18:12:01,18-19
106,02-01-2015,18:12:13,18-19
107,02-01-2015,18:25:09,18-19
108,02-01-2015,18:25:25,18-19
109,02-01-2015,18:27:50,18-19
110,02-01-2015,18:36:19,18-19
111,02-01-2015,18:38:01,18-19
112,02-01-2015,18:41:40,18-19
113,02-01-2015,18:50:21,18-19
114,02-01-2015,18:59:32,18-19
115,02-01-2015,19:05:17,19-20
116,02-01-2015,19:18:49,19-20
117,02-01-2015,19:23:02,19-20
118,02-01-2015,19:26:59,19-20
119,02-01-2015,19:32:29,19-20
120,02-01-2015,19:35:07,19-20
121,02-01-2015,19:38:48,19-20
122,02-01-2015,19:50:19,19-20
123,02-01-2015,20:12:09,20-21
124,02-01-2015,20:12:34,20-21
125,02-01-2015,20:31:06,20-21
126,02-01-2015,20:53:42,20-21
127,02-01-2015,20:58:23,20-21
128,02-01-2015,21:05:06,21-22
129,02-01-2015,21:13:02,21-22
130,02-01-2015,21:14:55,21-22
131,02-01-2015,21:33:10,21-22
132,02-01-2015,21:42:45,21-22
133,02-01-2015,22:00:17,22-23
134,02-01-2015,22:13:24,22-23
135,02-01-2015,22:29:34,22-23
136,02-01-2015,22:32:49,22-23
137,03-01-2015,11:34:10,11-12
138,03-01-2015,11:44:50,11-12
139,03-01-2015,11:57:39,11-12
140,03-01-2015,12:26:44,12-13
141,03-01-2015,13:16:01,13-14
142,03-01-2015,13:33:59,13-14
143,03-01-2015,13:41:36,13-14
144,03-01-2015,13:44:28,13-14
145,03-01-2015,13:53:48,13-14
146,03-01-2015,14:22:10,14-15
